[1/5] Simulating event (seed=1)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization; approximant=IMRPhenomXAS, prior_class=IntrinsicAlignedSpinIASPrior)...
Searching incoherent solution for GW1
Set intrinsic parameters, lnL = 21.844041792104274
Set time, lnL(L) = 14.406503253770035
Set sky location, lnL = 17.434110113046188
Set phase and distance, lnL = 17.434110113046188
Set mchirp_range = (np.float64(9.615868829851735), np.float64(97.08200823500712))
      reference-waveform fit SNR estimate: nan (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Computing | 6      | 1        | 4        | 8200     | 0.0353 | 4535  | -8.47    
Sampling  | 6      | 1        | 4        | 8300     | 0.0339 | 4537  | -8.47    
Computing | 6      | 1        | 4        | 8300     | 0.0339 | 4537  | -8.47    
Sampling  | 6      | 1        | 4        | 8400     | 0.0329 | 4545  | -8.47    
Computing | 6      | 1        | 4        | 8400     | 0.0329 | 4545  | -8.47    
Sampling  | 6      | 1        | 4        | 8500     | 0.0318 | 4547  | -8.47    
Computing | 6      | 1        | 4        | 8500     | 0.0318 | 4547  | -8.47    
Sampling  | 6      | 1        | 4        | 8600     | 0.0307 | 4548  | -8.47    
Computing | 6      | 1        | 4        | 8600     | 0.0307 | 4548  | -8.47    
Sampling  | 6      | 1        | 4        | 8700     | 0.0296 | 4551  | -8.47    
Computing | 6      | 1        | 4        | 8700     | 0.0296 | 4551  | -8.47    
Sampling  | 6      | 1        | 4        | 8800     | 0.0285 | 4551  | -8.47    
Computing | 6      | 1        | 4        | 8800     | 0.0285 | 4551  | -8.47    
Sampling  | 6      | 1        | 4        | 8900     | 0.0277 | 4553  | -8.47    
Computing | 6      | 1        | 4        | 8900     | 0.0277 | 4553  | -8.47    
Sampling  | 6      | 1        | 4        | 9000     | 0.0267 | 4552  | -8.47    
Computing | 6      | 1        | 4        | 9000     | 0.0267 | 4552  | -8.47    
Bounding  | 6      | 1        | 4        | 9100     | 0.0259 | 4552  | -8.47    
Sampling  | 7      | 1        | 8        | 9100     | 0.0301 | 4266  | -8.50    
Computing | 7      | 1        | 8        | 9100     | 0.0301 | 4266  | -8.50    
Sampling  | 7      | 1        | 8        | 9200     | 0.0252 | 4561  | -8.47    
Computing | 7      | 1        | 8        | 9200     | 0.0252 | 4561  | -8.47    
Sampling  | 7      | 1        | 8        | 9300     | 0.0239 | 4562  | -8.47    
Computing | 7      | 1        | 8        | 9300     | 0.0239 | 4562  | -8.47    
Sampling  | 7      | 1        | 8        | 9400     | 0.0229 | 4563  | -8.47    
Computing | 7      | 1        | 8        | 9400     | 0.0229 | 4563  | -8.47    
Sampling  | 7      | 1        | 8        | 9500     | 0.0217 | 4561  | -8.47    
Computing | 7      | 1        | 8        | 9500     | 0.0217 | 4561  | -8.47    
Sampling  | 7      | 1        | 8        | 9600     | 0.0207 | 4561  | -8.47    
Computing | 7      | 1        | 8        | 9600     | 0.0207 | 4561  | -8.47    
Sampling  | 7      | 1        | 8        | 9700     | 0.0197 | 4559  | -8.47    
Computing | 7      | 1        | 8        | 9700     | 0.0197 | 4559  | -8.47    
Sampling  | 7      | 1        | 8        | 9800     | 0.0187 | 4557  | -8.47    
Computing | 7      | 1        | 8        | 9800     | 0.0187 | 4557  | -8.47    
Sampling  | 7      | 1        | 8        | 9900     | 0.0179 | 4556  | -8.47    
