[1/5] Simulating event (seed=0)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization)...
Searching incoherent solution for GW0
Set intrinsic parameters, lnL = 207.4750145548004
Set time, lnL(H) = 118.07731869931102
Set sky location, lnL = 194.35292957472166
Set phase and distance, lnL = 194.35292957472166
Set mchirp_range = (np.float64(19.789622701763705), np.float64(117.35646182836352))
      reference-waveform fit SNR estimate: 18.67 (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Computing | 8      | 1        | 4        | 9400     | 1.0000 | 3     | +158.29  
Sampling  | 8      | 1        | 4        | 9500     | 1.0000 | 3     | +158.22  
Computing | 8      | 1        | 4        | 9500     | 1.0000 | 3     | +158.22  
Sampling  | 8      | 1        | 4        | 9600     | 1.0000 | 3     | +158.17  
Computing | 8      | 1        | 4        | 9600     | 1.0000 | 3     | +158.17  
Sampling  | 8      | 1        | 4        | 9700     | 1.0000 | 3     | +158.11  
Computing | 8      | 1        | 4        | 9700     | 1.0000 | 3     | +158.11  
Sampling  | 8      | 1        | 4        | 9800     | 1.0000 | 3     | +158.07  
Computing | 8      | 1        | 4        | 9800     | 1.0000 | 3     | +158.07  
Sampling  | 8      | 1        | 4        | 9900     | 1.0000 | 3     | +158.03  
Computing | 8      | 1        | 4        | 9900     | 1.0000 | 3     | +158.03  
Sampling  | 8      | 1        | 4        | 10000    | 1.0000 | 3     | +157.98  
Computing | 8      | 1        | 4        | 10000    | 1.0000 | 3     | +157.98  
Sampling  | 8      | 1        | 4        | 10100    | 1.0000 | 3     | +157.93  
Computing | 8      | 1        | 4        | 10100    | 1.0000 | 3     | +157.93  
Bounding  | 8      | 1        | 4        | 10200    | 1.0000 | 3     | +157.89  
Sampling  | 9      | 1        | 4        | 10200    | 1.0000 | 1     | +69.86   
Computing | 9      | 1        | 4        | 10200    | 1.0000 | 1     | +69.86   
